away,home,date
TEX,PHI,2024-05-23
SDP,CIN,2024-05-23
ATL,CHC,2024-05-23
COL,OAK,2024-05-23
TOR,DET,2024-05-23
BAL,CHW,2024-05-23
TOR,DET,2024-05-24
ATL,PIT,2024-05-24
SEA,WSN,2024-05-24
KCR,TBR,2024-05-24
LAD,CIN,2024-05-24
SFG,NYM,2024-05-24
MIL,BOS,2024-05-24
BAL,CHW,2024-05-24
TEX,MIN,2024-05-24
CHC,STL,2024-05-24
PHI,COL,2024-05-24
CLE,LAA,2024-05-24
HOU,OAK,2024-05-24
MIA,ARI,2024-05-24
NYY,SDP,2024-05-24
TOR,DET,2024-05-25
SFG,NYM,2024-05-25
TEX,MIN,2024-05-25
BAL,CHW,2024-05-25
SEA,WSN,2024-05-25
ATL,PIT,2024-05-25
HOU,OAK,2024-05-25
KCR,TBR,2024-05-25
MIL,BOS,2024-05-25
LAD,CIN,2024-05-25
CHC,STL,2024-05-25
PHI,COL,2024-05-25
CLE,LAA,2024-05-25
NYY,SDP,2024-05-25
MIA,ARI,2024-05-25
SEA,WSN,2024-05-26
ATL,PIT,2024-05-26
MIL,BOS,2024-05-26
LAD,CIN,2024-05-26
SFG,NYM,2024-05-26
KCR,TBR,2024-05-26
TOR,DET,2024-05-26
TEX,MIN,2024-05-26
BAL,CHW,2024-05-26
PHI,COL,2024-05-26
CLE,LAA,2024-05-26
HOU,OAK,2024-05-26
MIA,ARI,2024-05-26
NYY,SDP,2024-05-26
CHC,STL,2024-05-26
BOS,BAL,2024-05-27
KCR,MIN,2024-05-27
TOR,CHW,2024-05-27
CLE,COL,2024-05-27
LAD,NYM,2024-05-27
STL,CIN,2024-05-27
WSN,ATL,2024-05-27
CHC,MIL,2024-05-27
PHI,SFG,2024-05-27
MIA,SDP,2024-05-27
HOU,SEA,2024-05-27
BOS,BAL,2024-05-28
PIT,DET,2024-05-28
STL,CIN,2024-05-28
OAK,TBR,2024-05-28
LAD,NYM,2024-05-28
WSN,ATL,2024-05-28
KCR,MIN,2024-05-28
TOR,CHW,2024-05-28
CHC,MIL,2024-05-28
ARI,TEX,2024-05-28
CLE,COL,2024-05-28
NYY,LAA,2024-05-28
HOU,SEA,2024-05-28
MIA,SDP,2024-05-28
PHI,SFG,2024-05-28
PIT,DET,2024-05-29
STL,CIN,2024-05-29
ARI,TEX,2024-05-29
PHI,SFG,2024-05-29
LAD,NYM,2024-05-29
MIA,SDP,2024-05-29
BOS,BAL,2024-05-29
OAK,TBR,2024-05-29
WSN,ATL,2024-05-29
KCR,MIN,2024-05-29
TOR,CHW,2024-05-29
CHC,MIL,2024-05-29
CLE,COL,2024-05-29
NYY,LAA,2024-05-29
HOU,SEA,2024-05-29
OAK,TBR,2024-05-30
KCR,MIN,2024-05-30
CHC,MIL,2024-05-30
HOU,SEA,2024-05-30
DET,BOS,2024-05-30
ARI,NYM,2024-05-30
WSN,ATL,2024-05-30
NYY,LAA,2024-05-30
CIN,CHC,2024-05-31
STL,PHI,2024-05-31
TBR,BAL,2024-05-31
PIT,TOR,2024-05-31
DET,BOS,2024-05-31
WSN,CLE,2024-05-31
ARI,NYM,2024-05-31
TEX,MIA,2024-05-31
OAK,ATL,2024-05-31
SDP,KCR,2024-05-31
MIN,HOU,2024-05-31
CHW,MIL,2024-05-31
COL,LAD,2024-05-31
LAA,SEA,2024-05-31
NYY,SFG,2024-05-31
PIT,TOR,2024-06-01
TBR,BAL,2024-06-01
DET,BOS,2024-06-01
